metro,pop_1317,pop_1822,pop_growth
"Richmond, KY",105191.0,107093.0,0.018081394796132688
"Rio Grande City, TX",63420.0,65716.0,0.03620309050772619
"Riverside, CA",4476222.0,4610050.0,0.0298975341258767
"Roanoke Rapids, NC",72726.0,66300.0,-0.08835904628330993
"Rochelle, IL",51619.0,51672.0,0.0010267537147174988
"Rochester, MN",214485.0,225911.0,0.05327179056810505
"Rochester, NY",1080653.0,1086859.0,0.005742824014739245
"Rockford, IL",341150.0,338050.0,-0.009086911915579643
"Rocky Mount, NC",148157.0,144082.0,-0.02750460659975562
"Rome, GA",96471.0,98541.0,0.021457225487452103
"Ruston, LA",47536.0,48323.0,0.01655587344328513
"Sacramento, CA",2268005.0,2394673.0,0.055849965057396256
"Saginaw, MI",193803.0,189821.0,-0.02054663756495001
"Salem, OH",104584.0,101723.0,-0.02735600091792245
"Salem, OR",410119.0,433415.0,0.05680302546334115
"Salt Lake City, UT",1170057.0,1254675.0,0.07231955366277032
"San Francisco, CA",4641820.0,4692242.0,0.010862549603388283
"San Jose, CA",1969897.0,1981584.0,0.005932797501595255
"San Juan, PR",2193264.0,2073546.0,-0.05458440023636002
"Sandusky, OH",75369.0,75299.0,-0.0009287638153617772
"Sanford, NC",59805.0,63560.0,0.0627873923584985
"Santa Cruz, CA",273263.0,268571.0,-0.017170271862637865
"Santa Fe, NM",147514.0,154481.0,0.04722941551310389
"Santa Isabel, PR",22475.0,20207.0,-0.1009121245828698
"Santa Rosa, CA",500943.0,488436.0,-0.024966912403207586
"Savannah, GA",377476.0,406575.0,0.07708834468946368
"Scottsboro, AL",52326.0,52618.0,0.005580399801246028
"Searcy, AR",78706.0,77118.0,-0.020176352501715233
"Seattle, WA",3735216.0,4001701.0,0.07134393298807895
"Sebastian, FL",147981.0,160986.0,0.08788290388630982
"Selinsgrove, PA",40570.0,39797.0,-0.019053487798866175
"Seneca Falls, NY",34843.0,33651.0,-0.03421060184255087
"Seneca, SC",75926.0,78775.0,0.03752337802597272
"Sevierville, TN",95523.0,98455.0,0.030694178365419766
"Seymour, IN",43779.0,46212.0,0.05557459055711633
"Shawano, WI",45642.0,45127.0,-0.011283466982165535
"Shawnee, OK",71614.0,72734.0,0.015639400117295477
"Shelby, NC",97038.0,99527.0,0.02564974546054133
"Shelbyville, TN",46854.0,50533.0,0.07852051052204723
"Shelton, WA",61569.0,66053.0,0.07282885867888056
"Sherman, TX",126146.0,137008.0,0.08610657492112317
"Sidney, OH",48902.0,48145.0,-0.015479939470778303
"Sikeston, MO",38858.0,38055.0,-0.020664985331205976
"Somerset, PA",75619.0,73802.0,-0.024028352662690544
"South Bend, IN",320010.0,323992.0,0.012443361144964138
"Spartanburg, SC",325504.0,330119.0,0.01417801317341727
"Spearfish, SD",25018.0,26047.0,0.04113038612199227
"Spokane, WA",547688.0,585485.0,0.06901191919487015
"Springfield, IL",210550.0,208406.0,-0.010182854428876786
"Springfield, OH",135520.0,135877.0,0.002634297520661244
"St. Cloud, MN",194660.0,199922.0,0.0270317476625912
"St. Joseph, MO",127137.0,121952.0,-0.040782777633576406
"St. Louis, MO",2804998.0,2813523.0,0.003039217853274767
"St. Marys, GA",52252.0,55105.0,0.05460078083135578
"State College, PA",160646.0,158665.0,-0.012331461723292247
"Statesboro, GA",73742.0,79829.0,0.0825445472051205
"Staunton, VA",120283.0,125355.0,0.04216722230074077
"Steamboat Springs, CO",24359.0,24944.0,0.024015764193932476
"Sterling, IL",56823.0,55569.0,-0.022068528588775727
"Stevens Point, WI",70371.0,70281.0,-0.0012789359253101429
"Stockton, CA",724153.0,779445.0,0.07635403015661058
"Sturgis, MI",60890.0,60887.0,-4.926917392023e-05
"Summerville, GA",24880.0,24902.0,0.0008842443729903948
"Sunbury, PA",93038.0,91340.0,-0.018250607278746278
"Syracuse, NY",659262.0,658694.0,-0.0008615694519022998
"Talladega, AL",91843.0,81105.0,-0.11691691255729886
"Taylorville, IL",33562.0,33893.0,0.00986234431797861
"The Villages, FL",116754.0,131832.0,0.1291433269952207
"Thomaston, GA",26241.0,27638.0,0.05323730040775887
"Tiffin, OH",55549.0,55062.0,-0.008767034510072214
"Toledo, OH",605204.0,644547.0,0.0650078320698475
"Torrington, CT",184454.0,185765.0,0.007107463107332901
"Trenton, NJ",373362.0,383732.0,0.027774653017714757
"Truckee, CA",98838.0,102322.0,0.03524960035613822
"Tucson, AZ",1007257.0,1042393.0,0.03488285512039124
"Tulsa, OK",977869.0,1017724.0,0.04075699301235636
